,id,parish,20,21,22,23,24,27,29,30,33,34,35,37,38,39,40,41,42,43,44,45,sum,duration,event,Category
0,1,St Alban Woodstreet - Plague,0,0,0,0,0,0,0,0,0,2,1,1,0,4,0,1,0,1,0,0,10,34,1,Group A
1,2,Alhallows Barking - Plague,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,2,4,1,3,2,19,34,1,Group A
2,3,Alhallows Breadstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,40,1,Group A
3,4,Alhallows Great - Plague,0,0,1,0,0,0,0,0,0,0,1,1,0,7,2,7,4,5,4,2,34,22,1,Group A
4,5,Alhallows Honylane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
5,6,Alhallows Lesse - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,42,1,Group A
6,7,Alhallows Lumbardstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
7,8,Alhallows Stayning - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
8,9,Alhallows the Wall - Plague,0,0,0,2,0,0,0,0,0,0,1,6,5,3,3,6,1,2,1,1,31,23,1,Group A
9,10,St Alphage - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,1,0,1,9,38,1,Group A
10,11,St Andrew Hubbard - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,42,1,Group A
11,12,St Andrew Undershaft - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,1,10,21,1,Group A
12,13,St Andrew Wardrobe - Plague,0,0,0,0,0,0,0,0,1,0,2,8,3,1,1,6,2,1,3,2,30,33,1,Group A
13,14,St Ann Aldersgate - Plague,0,0,0,0,0,0,0,0,0,2,1,1,2,7,9,6,3,8,2,3,44,34,1,Group A
14,15,St Ann Blackfryers - Plague,0,0,0,0,0,0,0,1,7,5,5,4,9,4,4,1,2,0,0,0,42,30,1,Group A
15,16,St Antholins Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,44,1,Group A
16,17,St Austins Parish - Plague,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,34,1,Group A
17,18,St Bartholomew Exchange - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
18,19,St Bennet Fynck - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,4,38,1,Group A
19,20,St Bennet Gracechurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,42,1,Group A
20,21,St Bennet Paulswharf - Plague,0,0,0,0,0,0,0,0,0,2,0,1,4,9,7,6,7,1,2,0,39,34,1,Group A
21,22,St Bennet Sherehog - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
22,23,St Botolph Billingsgate - Plague,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,0,0,0,1,7,33,1,Group A
23,24,Christ Church - Plague,0,0,0,0,0,0,0,0,1,2,2,9,5,6,4,6,6,5,3,2,51,33,1,Group A
24,25,St Christophers - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,4,39,1,Group A
25,26,St Clement Eastcheap - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,Group A
26,27,St Dionis Backchurch - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21,1,Group A
27,28,St Dunstan East - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,42,1,Group A
28,29,St Edmund Lumbardstr. - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,39,1,Group A
29,30,St Ethelborough - Plague,0,0,0,0,0,0,0,3,3,0,2,2,1,0,0,1,1,1,1,0,15,30,1,Group A
30,31,St Faith - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,0,0,10,40,1,Group A
31,32,St Foster - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,40,1,Group A
32,33,St Gabriel Fenchurch - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,35,1,Group A
33,34,St George Botolphlane - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,35,1,Group A
34,35,St Gregory by St Pauls - Plague,0,0,0,0,0,0,0,0,2,5,2,4,1,4,1,0,0,2,0,0,21,33,1,Group A
35,36,St Hellen - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,38,1,Group A
36,37,St James Dukes place - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,6,42,1,Group A
37,38,St James Garlickhithe - Plague,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,37,1,Group A
38,39,St John Baptist - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,44,1,Group A
39,40,St John Evangelist - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
40,41,St John Zachary - Plague,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,2,0,1,8,34,1,Group A
41,42,St Katharine Coleman - Plague,0,0,0,0,1,0,0,0,1,2,8,7,4,9,7,6,1,7,4,2,59,24,1,Group A
42,43,St Katharine Creechurch - Plague,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,6,0,3,1,1,16,33,1,Group A
43,44,St Lawrence Jewry - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
44,45,St Lawrence Pountney - Plague,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,1,0,0,6,37,1,Group A
45,46,St Leonard Eastcheap - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,35,1,Group A
46,47,St Leonard Fosterlane - Plague,0,0,0,0,0,0,0,0,2,5,5,2,2,0,1,1,5,4,0,1,28,33,1,Group A
47,48,St Magnus Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,0,0,9,40,1,Group A
48,49,St Margaret Lothbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
49,50,St Margaret Moses - Plague,0,0,0,0,0,0,0,0,2,0,2,1,0,3,0,0,0,0,1,0,9,33,1,Group A
50,51,St Margaret Newfishstreet - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,3,0,0,10,21,1,Group A
51,52,St Margaret Pattons - Plague,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,4,24,1,Group A
52,53,St Mary Abchurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
53,54,St Mary Aldermanbury - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,4,0,9,38,1,Group A
54,55,St Mary Aldermary - Plague,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,0,0,1,0,6,37,1,Group A
55,56,St Mary le Bow - Plague,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,4,24,1,Group A
56,57,St Mary Bothaw - Plague,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,35,1,Group A
57,58,St Mary Colechurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,43,1,Group A
58,59,St Mary Hill - Plague,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,4,33,1,Group A
59,60,St Mary Mounthaw - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,Group A
60,61,St Mary Sommerset - Plague,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,1,0,3,0,10,34,1,Group A
61,62,St Mary Stayning - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,39,1,Group A
62,63,St Mary Woolchurch - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,4,40,1,Group A
63,64,St Mary Woolnoth - Plague,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,33,1,Group A
64,65,St Martin Iremongerlane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
65,66,St Martin Ludgate - Plague,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,4,37,1,Group A
66,67,St Martin Orgars - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
67,68,St Martin Outwich - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,39,1,Group A
68,69,St Martin Vintrey - Plague,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,3,0,0,10,38,1,Group A
69,70,St Matthew Fridaystreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,40,1,Group A
70,71,St Maudlin Milkstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
71,72,St Maudlin Oldfishstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,6,3,2,2,25,38,1,Group A
72,73,St Michael Bassishaw - Plague,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,7,37,1,Group A
73,74,St Michael Cornhil - Plague,0,0,0,1,0,0,0,0,0,0,0,1,3,1,1,0,0,0,0,1,8,23,1,Group A
74,75,St Michael Crookedlane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,4,39,1,Group A
75,76,St Michael Queenhithe - Plague,0,0,0,0,0,0,0,0,1,0,1,1,0,3,1,0,3,2,2,0,14,33,1,Group A
76,77,St Michael Quern - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,45,1,Group A
77,78,St Michael Royal - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
78,79,St Michael Woodstreet - Plague,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,1,1,0,0,1,12,35,1,Group A
79,80,St Mildred Breadstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,6,38,1,Group A
80,81,St Mildred Poultrey - Plague,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,5,37,1,Group A
81,82,St Nicholas Acons - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,42,1,Group A
82,83,St Nicholas Coleabby - Plague,0,0,0,0,0,0,0,0,0,0,1,2,1,1,1,0,1,0,0,0,7,35,1,Group A
83,84,St Nicholas Olaves - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,5,40,1,Group A
84,85,St Olave Hartstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,0,1,3,12,39,1,Group A
85,86,St Olave Jewry - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
86,87,St Olave Silverstreet - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,5,40,1,Group A
87,88,St Pancras Soperlane - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
88,89,St Peter Cheap - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
89,90,St Peter Cornhil - Plague,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,6,21,1,Group A
90,91,St Peter Paulswharf - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,2,8,38,1,Group A
91,92,St Peter Poor - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
92,93,St Steven Colemanstreet - Plague,0,0,0,0,0,0,0,0,1,1,1,1,0,1,4,1,3,2,1,2,18,33,1,Group A
93,94,St Steven Walbrook - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
94,95,St Swithin - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group A
95,96,St Thomas Apostles - Plague,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,4,38,1,Group A
96,97,Trinity Parish - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,4,40,1,Group A
97,98,St Andrew Holborn - Plague,0,0,0,0,0,1,3,4,8,7,6,12,12,24,21,27,36,25,25,19,230,27,1,Group B
98,99,St Bartholomew Great - Plague,0,0,0,0,0,0,0,3,4,5,12,19,4,16,10,5,9,5,1,4,97,30,1,Group B
99,100,St Bartholomew Less - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,3,1,10,39,1,Group B
100,101,St Bridget - Plague,0,0,0,0,0,0,0,0,3,3,3,5,6,10,9,13,15,10,15,9,101,33,1,Group B
101,102,Bridewel Precinct - Plague,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,1,0,1,7,33,1,Group B
102,103,St Botolph Aldersgate - Plague,0,0,0,0,0,0,0,0,2,0,4,10,4,5,9,6,17,9,4,5,75,33,1,Group B
103,104,St Botolph Aldgate - Plague,2,6,10,7,9,11,16,24,26,20,21,31,37,54,28,59,50,41,39,18,509,20,1,Group B
104,105,St Botolph Bishopsgate - Plague,1,3,1,4,3,2,6,2,5,6,9,18,34,38,46,30,54,50,14,22,348,20,1,Group B
105,106,St Dunstan West - Plague,0,0,0,0,0,0,0,1,1,0,0,1,7,4,6,5,5,1,4,3,38,30,1,Group B
106,107,St George Southwark - Plague,0,2,0,0,0,0,1,0,9,6,10,57,51,52,55,52,59,23,9,14,400,21,1,Group B
107,108,St Giles Cripplegate - Plague,1,0,1,1,0,9,2,2,2,10,11,34,51,35,66,101,98,58,37,36,555,20,1,Group B
108,109,St Olave Southwark - Plague,0,0,0,0,0,0,1,1,8,12,18,24,32,31,33,66,55,86,44,52,463,29,1,Group B
109,110,Saviours Southwark - Plague,0,0,0,0,1,0,1,2,5,19,18,19,41,56,37,58,58,50,56,32,453,24,1,Group B
110,111,S Sepulchres Parish - Plague,0,0,1,2,6,7,7,6,10,21,18,26,30,42,32,30,36,34,19,21,348,22,1,Group B
111,112,St Thomas Southwark - Plague,0,4,0,2,6,1,2,0,2,2,0,4,8,11,8,13,8,11,8,7,97,21,1,Group B
112,113,Trinity Minories - Plague,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,3,1,2,0,2,14,34,1,Group B
113,114,Pesthouse Without the Walls - Plague,0,3,0,1,3,2,0,3,2,4,6,2,3,10,8,8,5,3,2,1,66,21,1,Group B
114,115,St Clement Danes - Plague,0,0,0,0,0,0,1,1,3,0,6,15,5,5,9,12,8,8,7,3,83,29,1,Group C
115,116,St Paul Covent Garden - Plague,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,Group C
116,117,St Giles in the Field - Plague,0,0,0,0,2,2,1,6,9,15,12,32,30,30,29,29,22,20,11,13,263,24,1,Group C
117,118,St James Clerkenwel - Plague,0,3,0,1,2,7,7,4,9,15,10,25,19,33,27,27,29,16,11,10,255,21,1,Group C
118,119,St Katharine Tower - Plague,0,0,3,2,4,6,7,5,8,19,13,25,9,25,14,21,18,20,8,8,215,22,1,Group C
119,120,St Leonard Shoreditch - Plague,0,9,2,4,1,2,1,2,9,10,26,23,27,19,11,19,21,26,22,17,251,21,1,Group C
120,121,St Martin in the fields - Plague,0,0,0,0,0,0,2,3,3,5,3,15,10,17,17,20,19,18,19,16,167,29,1,Group C
121,122,St Mary Whitechappel - Plague,0,7,3,12,11,14,6,13,26,20,29,58,67,88,58,85,67,62,48,36,710,21,1,Group C
122,123,St Magdalen Bermondsey - Plague,0,0,0,0,0,0,0,0,0,8,3,8,9,18,16,15,15,16,14,2,124,34,1,Group C
123,124,St Mary Savoy - Plague,0,0,0,0,0,0,0,0,0,1,1,6,1,6,9,4,5,5,0,2,40,34,1,Group C
